0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:48:04 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:48:31 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:51:50 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:51:50 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:51:50 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:51:51 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:51:55 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:55:12 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:55:12 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:55:12 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:14:55:12 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:01:19 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:01:19 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:01:19 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:01:19 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:01:20 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:06:08 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:06:08 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:06:09 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:06:10 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:06:30 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:06:30 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:06:30 +0500] "OPTIONS /VIM/getAllCustomForms HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:06:31 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:06:31 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:06:31 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:06:31 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:07:13 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:09:56 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:09:56 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:09:56 +0500] "OPTIONS /VIM/getAllCustomForms HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:09:57 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:09:57 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:09:57 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:09:58 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:10:03 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:16:24 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
